img, part, ecd.nm, contrast, circ, a.r, round, solidity
2, 60, 85.50, 0.5416, 0.8861, 1.0121, 0.9880, 0.9689
2, 61, 90.06, 0.8112, 0.8740, 1.0128, 0.9874, 0.9745
2, 62, 83.81, 0.5108, 0.8869, 1.0225, 0.9780, 0.9725
2, 63, 88.85, 0.5149, 0.8883, 1.0166, 0.9836, 0.9757
2, 64, 74.92, 0.5080, 0.8358, 1.0393, 0.9622, 0.9654
2, 65, 90.07, 0.6392, 0.9076, 1.0157, 0.9846, 0.9789
2, 66, 61.01, 0.6801, 0.9081, 1.0254, 0.9752, 0.9702
2, 67, 72.14, 0.5013, 0.8904, 1.0217, 0.9787, 0.9662
2, 68, 82.23, 0.8061, 0.9058, 1.0191, 0.9813, 0.9763
2, 69, 73.58, 0.4272, 0.8777, 1.0324, 0.9686, 0.9691
2, 70, 73.21, 0.5426, 0.9072, 1.0206, 0.9798, 0.9706
2, 71, 89.24, 0.8579, 0.8996, 1.0075, 0.9925, 0.9779
2, 72, 65.33, 0.4339, 0.9053, 1.0225, 0.9780, 0.9733
2, 73, 78.01, 0.6087, 0.8844, 1.0192, 0.9812, 0.9698
2, 74, 81.70, 0.6545, 0.8719, 1.0061, 0.9939, 0.9727
2, 75, 89.56, 0.5108, 0.8828, 1.0610, 0.9425, 0.9738
2, 76, 74.75, 0.5070, 0.8731, 1.0363, 0.9650, 0.9702
2, 77, 83.00, 0.6316, 0.9000, 1.0247, 0.9759, 0.9725
2, 78, 75.05, 0.5207, 0.8764, 1.2033, 0.8311, 0.9771
2, 79, 72.52, 0.7138, 0.9099, 1.0072, 0.9929, 0.9748
2, 80, 104.34, 0.7190, 0.8900, 1.0184, 0.9819, 0.9759
2, 81, 90.86, 0.6027, 0.9042, 1.0223, 0.9782, 0.9762
2, 82, 95.80, 0.9329, 0.9079, 1.0679, 0.9364, 0.9797
2, 83, 87.54, 0.5467, 0.8938, 1.0161, 0.9842, 0.9736
2, 84, 35.04, 0.5248, 0.5470, 2.6661, 0.3751, 0.9541
2, 85, 94.55, 0.5451, 0.8857, 1.0168, 0.9835, 0.9739
2, 86, 83.05, 0.6313, 0.8880, 1.0390, 0.9624, 0.9719
2, 87, 85.19, 0.5718, 0.8607, 1.0408, 0.9608, 0.9705
2, 88, 73.39, 0.5334, 0.8238, 1.0197, 0.9807, 0.9641
2, 89, 67.60, 0.5372, 0.8766, 1.1480, 0.8711, 0.9766
2, 90, 69.09, 0.4619, 0.8711, 1.0302, 0.9707, 0.9653
2, 91, 75.67, 0.5579, 0.8737, 1.0295, 0.9714, 0.9671
2, 92, 76.86, 0.6027, 0.8976, 1.0619, 0.9417, 0.9737
2, 93, 93.83, 0.6739, 0.8167, 1.0245, 0.9761, 0.9604
2, 94, 99.58, 0.6154, 0.8986, 1.0144, 0.9858, 0.9788
