Min	Max	Gen[C K-L2]	Emit[C K-L2]	Gen[C K-L3]	Emit[C K-L3]	Gen[O K-L2]	Emit[O K-L2]	Gen[O K-L3]	Emit[O K-L3]	Gen[Si K-L2]	Emit[Si K-L2]	Gen[Si K-L3]	Emit[Si K-L3]	Gen[Si K-M2]	Emit[Si K-M2]	Gen[Si K-M3]	Emit[Si K-M3]	Gen[Si L1-M2]	Emit[Si L1-M2]	Gen[Si L2-M1]	Emit[Si L2-M1]	Gen[Si L3-M1]	Emit[Si L3-M1]	Gen_I[C K-L2]	Emit_I[C K-L2]	Gen_I[C K-L3]	Emit_I[C K-L3]	Gen_I[O K-L2]	Emit_I[O K-L2]	Gen_I[O K-L3]	Emit_I[O K-L3]	Gen_I[Si K-L2]	Emit_I[Si K-L2]	Gen_I[Si K-L3]	Emit_I[Si K-L3]	Gen_I[Si K-M2]	Emit_I[Si K-M2]	Gen_I[Si K-M3]	Emit_I[Si K-M3]	Gen_I[Si L1-M2]	Emit_I[Si L1-M2]	Gen_I[Si L2-M1]	Emit_I[Si L2-M1]	Gen_I[Si L3-M1]	Emit_I[Si L3-M1]
		Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	Norm	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)	1/(meter e-)
5000.760	5000.782	0.000	0.000	0.000	0.000	0.734	0.165	0.734	0.165	0.307	0.243	0.307	0.243	0.307	0.250	0.307	0.250	1.137	0.000	9.114	0.000	9.359	0.000	0.000	0.000	0.000	0.000	139664.547	31425.431	278224.330	62602.283	40113.600	31680.127	79592.074	62858.657	683.827	557.477	1356.709	1104.398	1059.636	0.000	7109.370	0.009	13415.458	0.017
5000.782	5000.804	0.000	0.000	0.000	0.000	0.617	0.133	0.617	0.133	0.247	0.194	0.247	0.194	0.247	0.201	0.247	0.200	0.967	0.000	7.754	0.000	7.962	0.000	0.000	0.000	0.000	0.000	117323.960	25316.227	233719.872	50432.198	32317.824	25351.454	64123.954	50301.514	550.931	446.517	1093.043	884.540	900.921	0.000	6048.010	0.005	11413.211	0.010
5000.804	5000.825	0.000	0.000	0.000	0.000	0.528	0.109	0.528	0.109	0.197	0.154	0.197	0.154	0.197	0.159	0.197	0.159	0.858	0.000	6.883	0.000	7.068	0.000	0.000	0.000	0.000	0.000	100447.965	20801.104	200101.374	41437.668	25777.722	20085.991	51147.300	39853.958	439.440	354.095	871.846	701.425	799.392	0.000	5368.802	0.003	10132.215	0.006
5000.825	5000.847	0.000	0.000	0.000	0.000	0.439	0.087	0.439	0.087	0.149	0.115	0.149	0.115	0.149	0.119	0.149	0.119	0.738	0.000	5.923	0.000	6.083	0.000	0.000	0.000	0.000	0.000	83398.186	16565.560	166136.681	33000.085	19419.990	15031.405	38532.501	29824.814	331.058	265.226	656.817	525.363	687.296	0.000	4619.989	0.002	8719.778	0.004
5000.847	5000.869	0.000	0.000	0.000	0.000	0.352	0.067	0.352	0.067	0.110	0.085	0.110	0.085	0.110	0.088	0.110	0.088	0.595	0.000	4.775	0.000	4.904	0.000	0.000	0.000	0.000	0.000	66957.193	12763.737	133384.745	25426.512	14388.782	11062.266	28549.744	21949.381	245.289	195.368	486.653	386.972	554.789	0.000	3724.285	0.001	7029.165	0.002
5000.869	5000.891	0.000	0.000	0.000	0.000	0.270	0.049	0.270	0.049	0.076	0.058	0.076	0.058	0.076	0.061	0.076	0.060	0.478	0.000	3.835	0.000	3.939	0.000	0.000	0.000	0.000	0.000	51380.451	9388.709	102354.477	18703.151	9986.927	7625.893	19815.729	15131.043	170.250	134.803	337.775	266.996	445.182	0.000	2991.488	0.001	5646.598	0.001
5000.891	5000.913	0.000	0.000	0.000	0.000	0.201	0.035	0.201	0.035	0.052	0.040	0.052	0.040	0.052	0.041	0.052	0.041	0.375	0.000	3.018	0.000	3.100	0.000	0.000	0.000	0.000	0.000	38258.183	6711.263	76213.738	13369.440	6824.489	5176.949	13540.925	10271.931	116.339	91.594	230.816	181.407	349.085	0.000	2353.908	0.000	4443.787	0.001
5000.913	5000.935	0.000	0.000	0.000	0.000	0.162	0.027	0.162	0.027	0.035	0.026	0.035	0.026	0.035	0.028	0.035	0.027	0.307	0.000	2.470	0.000	2.537	0.000	0.000	0.000	0.000	0.000	30840.091	5186.544	61436.234	10332.061	4589.194	3457.856	9105.727	6860.963	78.233	61.234	155.214	121.273	286.207	0.000	1926.253	0.000	3636.420	0.000
5000.935	5000.956	0.000	0.000	0.000	0.000	0.118	0.019	0.118	0.019	0.022	0.016	0.022	0.016	0.022	0.017	0.022	0.017	0.247	0.000	1.998	0.000	2.053	0.000	0.000	0.000	0.000	0.000	22526.455	3636.556	44874.722	7244.346	2825.781	2114.971	5606.822	4196.456	48.172	37.487	95.573	74.239	230.287	0.000	1558.164	0.000	2942.216	0.000
5000.956	5000.978	0.000	0.000	0.000	0.000	0.074	0.011	0.074	0.011	0.011	0.008	0.011	0.008	0.011	0.009	0.011	0.009	0.156	0.000	1.261	0.000	1.296	0.000	0.000	0.000	0.000	0.000	14014.802	2171.194	27918.746	4325.214	1476.660	1098.040	2929.940	2178.694	25.173	19.479	49.943	38.575	145.333	0.000	983.711	0.000	1857.559	0.000
