"Z.um","Gen.C.K.L2.","Emit.C.K.L2.","Gen.C.K.L3.","Emit.C.K.L3.","Gen.O.K.L2.","Emit.O.K.L2.","Gen.O.K.L3.","Emit.O.K.L3.","Gen.Si.K.L2.","Emit.Si.K.L2.","Gen.Si.K.L3.","Emit.Si.K.L3.","Gen.Si.K.M2.","Emit.Si.K.M2.","Gen.Si.K.M3.","Emit.Si.K.M3.","Gen.Si.L1.M2.","Emit.Si.L1.M2.","Gen.Si.L2.M1.","Emit.Si.L2.M1.","Gen.Si.L3.M1.","Emit.Si.L3.M1.","Gen_I.C.K.L2.","Emit_I.C.K.L2.","Gen_I.C.K.L3.","Emit_I.C.K.L3.","Gen_I.O.K.L2.","Emit_I.O.K.L2.","Gen_I.O.K.L3.","Emit_I.O.K.L3.","Gen_I.Si.K.L2.","Emit_I.Si.K.L2.","Gen_I.Si.K.L3.","Emit_I.Si.K.L3.","Gen_I.Si.K.M2.","Emit_I.Si.K.M2.","Gen_I.Si.K.M3.","Emit_I.Si.K.M3.","Gen_I.Si.L1.M2.","Emit_I.Si.L1.M2.","Gen_I.Si.L2.M1.","Emit_I.Si.L2.M1.","Gen_I.Si.L3.M1.","Emit_I.Si.L3.M1."
0.552999999999884,0,0,0,0,1.799,0.613,1.799,0.613,1.107,0.935,1.107,0.935,1.107,0.957,1.107,0.956,2.358,0,18.914,0.001,19.414,0.001,0,0,0,0,342113.607,116598.514,681521.051,232274.718,144610.823,122145.759,286931.997,242357.562,2465.219,2130.078,4890.981,4221.597,2196.705,0.001,14753.349,0.905,27829.152,1.708
0.574500000000626,0,0,0,0,1.713,0.56,1.713,0.56,1.022,0.858,1.022,0.858,1.022,0.878,1.022,0.877,2.28,0,18.286,0.001,18.769,0.001,0,0,0,0,325787.844,106516.452,648998.663,212190.344,133485.854,111993.444,264858.202,222213.675,2275.569,1954.8,4514.716,3874.05,2124.263,0,14262.959,0.595,26905.106,1.123
0.595999999999549,0,0,0,0,1.603,0.503,1.603,0.503,0.923,0.769,0.923,0.769,0.923,0.788,0.923,0.787,2.178,0,17.464,0,17.927,0.001,0,0,0,0,304760.351,95569.364,607110.007,190382.762,120523.189,100437.228,239138.112,199284.215,2054.591,1754.683,4076.297,3477.309,2028.8,0,13622.308,0.386,25697.924,0.728
0.618000000000393,0,0,0,0,1.524,0.458,1.524,0.458,0.849,0.703,0.849,0.703,0.849,0.721,0.849,0.72,2.105,0,16.889,0,17.338,0,0,0,0,0,289826.188,87190.857,577359.812,173692.024,110833.992,91743.532,219913.129,182034.472,1889.417,1604.251,3748.592,3179.059,1961.495,0,13173.669,0.254,24852.777,0.479
0.639999999999418,0,0,0,0,1.414,0.408,1.414,0.408,0.767,0.63,0.767,0.63,0.767,0.647,0.767,0.646,1.967,0,15.774,0,16.193,0,0,0,0,0,268995.312,77620.323,535862.836,154626.659,100118.71,82317.747,198652.223,163332.142,1706.75,1440.733,3386.183,2854.903,1832.821,0,12303.891,0.161,23212.227,0.304
0.662000000000262,0,0,0,0,1.343,0.372,1.343,0.372,0.707,0.577,0.707,0.577,0.707,0.593,0.707,0.592,1.88,0,15.058,0,15.458,0,0,0,0,0,255336.017,70699.959,508652.291,140840.672,92297.717,75380.554,183134.067,149567.594,1573.424,1320.506,3121.664,2616.557,1751.457,0,11745.62,0.105,22158.955,0.198
0.683999999999287,0,0,0,0,1.199,0.318,1.199,0.318,0.608,0.493,0.608,0.493,0.608,0.507,0.608,0.507,1.715,0,13.739,0,14.104,0,0,0,0,0,227940.286,60547.982,454077.534,120617.022,79381.448,64397.946,157506.036,127776.267,1353.237,1129.133,2684.814,2237.26,1597.471,0,10716.194,0.065,20217.977,0.123
0.705500000000029,0,0,0,0,1.092,0.278,1.092,0.278,0.528,0.425,0.528,0.425,0.528,0.438,0.528,0.437,1.587,0,12.719,0,13.058,0,0,0,0,0,207577.995,52898.852,413514.02,105379.267,68905.746,55526.167,136720.495,110173.177,1174.655,974.455,2330.508,1930.702,1478.721,0,9920.822,0.041,18718.245,0.077
0.727000000000771,0,0,0,0,0.964,0.236,0.964,0.236,0.447,0.358,0.447,0.358,0.447,0.369,0.447,0.368,1.414,0,11.322,0,11.625,0,0,0,0,0,183401.259,44834.069,365351.79,89313.494,58423.229,46762.714,115921.432,92785.025,995.956,821.406,1975.972,1627.394,1317.878,0,8831.643,0.025,16663.246,0.047
0.748999999999796,0,0,0,0,0.819,0.192,0.819,0.192,0.363,0.288,0.363,0.288,0.363,0.297,0.363,0.297,1.247,0,10.004,0,10.272,0,0,0,0,0,155750.85,36526.158,310269.689,72763.389,47377.69,37667.574,94005.241,74738.75,807.66,662.244,1602.393,1312.003,1162.093,0,7803.183,0.015,14724.449,0.028
