Z.nm,Hits 
144.747995,0.000000
144.956565,0.000000
145.165136,0.000000
145.373707,0.000000
145.582277,0.000000
145.790848,0.000000
145.999418,0.000000
146.207989,0.000000
146.416560,0.000000
146.625130,0.000000
146.833701,0.000000
147.042271,0.000000
147.250842,0.000000
147.459413,0.000000
147.667983,0.000000
147.876554,0.000000
148.085124,0.000000
148.293695,0.000000
148.502266,0.000000
148.710836,0.000000
148.919407,0.000000
149.127977,0.000000
149.336548,0.000000
149.545119,0.000000
149.753689,0.000000
149.962260,0.000000
