 ,Label,Area,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
847,work,233.357,1534.567,1197.105,60.273,20.460,14.522,133.602,0.807,23.318,998,779,148.392,16.396,1.409,0.710,0.855
848,work,1407.140,1462.911,1212.268,144.617,43.218,41.456,104.175,0.845,47.528,948,805,45.000,42.773,1.042,0.959,0.927
849,work,1166.783,809.901,1212.806,126.285,39.156,37.941,107.279,0.919,41.555,526,781,107.103,38.190,1.032,0.969,0.947
850,work,1157.449,898.559,1212.524,133.291,40.888,36.042,137.224,0.819,44.615,575,786,141.953,38.190,1.134,0.881,0.913
851,work,1579.824,392.599,1217.921,147.518,48.133,41.790,148.934,0.912,49.946,241,792,156.571,43.207,1.152,0.868,0.947
852,work,1603.160,298.026,1220.092,147.672,46.086,44.292,145.457,0.924,49.193,182,789,143.842,44.300,1.041,0.961,0.959
853,work,1243.791,124.821,1219.509,132.396,40.171,39.423,167.197,0.892,43.476,69,804,18.435,39.718,1.019,0.981,0.932
854,work,184.352,1520.457,1205.249,52.156,17.470,13.436,8.289,0.852,19.563,990,793,38.660,12.221,1.300,0.769,0.940
855,work,1558.822,216.798,1221.649,144.987,45.417,43.701,12.512,0.932,47.943,135,814,59.349,42.773,1.039,0.962,0.958
856,work,1276.461,574.784,1222.901,133.291,40.790,39.844,72.975,0.903,43.261,368,789,132.138,39.718,1.024,0.977,0.948
857,work,1150.448,1030.649,1220.651,123.754,38.885,37.670,13.119,0.944,40.990,662,804,26.565,36.662,1.032,0.969,0.958
858,work,1199.453,37.355,1223.716,127.704,39.812,38.360,125.334,0.924,42.472,15,791,127.694,38.190,1.038,0.964,0.957
859,work,1372.137,480.132,1225.321,137.611,43.405,40.250,153.668,0.911,45.573,304,791,129.560,41.245,1.078,0.927,0.948
860,work,1318.465,1249.677,1224.867,135.975,42.183,39.796,132.224,0.896,44.928,808,791,125.311,39.718,1.060,0.943,0.955
861,work,1059.439,1334.720,1223.299,119.280,37.472,35.998,12.493,0.936,39.659,861,803,15.642,36.662,1.041,0.961,0.949
862,work,1292.796,665.265,1229.587,133.661,40.619,40.524,151.133,0.909,43.476,422,800,161.565,40.848,1.002,0.998,0.949
863,work,1337.133,1166.521,1231.549,135.451,42.514,40.046,63.292,0.916,45.342,758,820,57.381,39.718,1.062,0.942,0.954
864,work,1148.115,1419.586,1229.213,127.180,39.403,37.099,149.891,0.892,41.947,917,799,146.889,38.190,1.062,0.942,0.947
865,work,1302.130,944.405,1232.580,134.556,41.278,40.165,142.545,0.904,43.690,609,796,126.469,39.718,1.028,0.973,0.951
866,work,154.015,1522.394,1218.216,49.471,16.816,11.662,150.559,0.791,19.917,990,794,147.529,13.748,1.442,0.694,0.923
867,work,1124.779,749.884,1234.530,125.020,38.466,37.231,79.446,0.904,41.132,483,819,58.671,38.190,1.033,0.968,0.944
868,work,1423.475,854.247,1236.473,139.772,44.583,40.653,130.789,0.916,46.761,548,800,141.633,42.127,1.097,0.912,0.949
869,work,1451.478,1078.745,1236.883,140.667,44.408,41.616,161.097,0.922,45.955,692,815,15.422,41.245,1.067,0.937,0.955
870,work,1313.798,1504.732,1238.512,138.723,41.933,39.892,142.254,0.858,45.955,971,806,164.578,39.967,1.051,0.951,0.924
871,work,1134.113,84.788,1240.164,123.230,40.640,35.531,133.860,0.938,42.444,50,799,120.256,36.726,1.144,0.874,0.954
872,work,1502.817,170.470,1243.804,144.987,45.962,41.631,151.569,0.898,47.968,98,806,142.765,42.773,1.104,0.906,0.945
873,work,1192.452,347.544,1243.110,129.341,40.038,37.921,53.835,0.896,42.444,220,825,59.744,38.940,1.056,0.947,0.943
874,work,1246.124,618.667,1244.784,130.606,40.322,39.349,96.631,0.918,42.609,404,801,104.534,39.718,1.025,0.976,0.949
875,work,1437.477,531.342,1247.391,139.401,43.452,42.121,167.013,0.930,45.955,333,813,158.552,41.245,1.032,0.969,0.960
876,work,1260.126,1210.381,1247.541,132.396,40.977,39.155,99.903,0.903,45.135,787,803,113.962,39.718,1.047,0.956,0.946
877,work,1150.448,1295.408,1245.530,128.075,40.760,35.937,166.583,0.881,42.554,836,823,21.038,36.662,1.134,0.882,0.938
878,work,1131.780,1378.011,1245.390,125.391,39.408,36.567,141.753,0.905,42.362,889,810,154.359,37.679,1.078,0.928,0.936
879,work,1131.780,258.043,1247.753,125.915,39.904,36.112,127.748,0.897,43.771,162,804,119.249,37.706,1.105,0.905,0.943
880,work,1467.813,989.477,1249.885,143.198,44.491,42.006,113.244,0.900,46.385,645,833,72.759,42.583,1.059,0.944,0.947
881,work,1278.794,435.249,1251.053,132.025,42.231,38.555,151.780,0.922,44.928,272,812,144.689,38.190,1.095,0.913,0.957
882,work,1257.792,1128.905,1256.832,132.025,40.401,39.640,149.114,0.907,43.690,732,811,126.469,39.718,1.019,0.981,0.949
883,work,1122.445,705.861,1256.560,125.020,39.531,36.152,142.164,0.902,41.947,450,815,146.889,37.612,1.093,0.915,0.944
