Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
1,880,300.763,1269.644,1407.231,1437.569,128.879,130.889,42.801,39.719,0,42.329,41.247,39.719,1.038,10.919,11.803,0.198,1,0.979,0,1.000,0.143,172.158,1.583,0.966
1,881,1417.234,1269.955,1299.880,1327.884,125.133,126.552,41.557,38.258,0,40.682,40.991,38.948,1.052,10.388,12.046,0.246,1,0.979,0,1.000,0.134,126.757,1.560,0.966
1,882,34.385,1272.142,1481.910,1509.914,132.625,134.517,44.930,41.247,0,43.438,41.247,41.247,1.000,11.174,11.869,0.220,1,0.981,0,1.000,0.140,130.833,1.604,0.965
1,883,215.045,1270.145,1355.889,1372.225,126.984,130.188,44.538,36.664,0,41.550,39.719,36.664,1.083,10.678,11.893,0.288,1,0.988,0,1.000,0.159,18.415,1.578,0.966
1,884,388.012,1271.540,1521.583,1558.922,135.521,136.399,44.617,41.247,0,44.015,42.774,41.247,1.037,11.228,12.070,0.162,1,0.976,0,1.000,0.121,164.153,1.617,0.965
1,885,575.781,1269.671,1264.874,1285.877,121.192,124.829,41.557,36.664,0,40.131,36.664,36.664,1.000,10.437,11.612,0.168,1,0.984,0,1.000,0.165,132.019,1.550,0.966
1,886,474.504,1273.776,1187.861,1213.532,118.992,120.172,39.424,36.664,0,38.890,37.792,36.312,1.041,9.983,11.920,0.199,1,0.979,0,1.000,0.131,15.855,1.530,0.966
1,887,660.488,1277.546,1341.887,1365.224,125.634,128.532,42.446,38.191,0,41.335,39.719,38.191,1.040,10.681,11.762,0.142,1,0.983,0,1.000,0.155,168.694,1.568,0.966
1,888,1167.110,1278.097,1248.538,1274.209,121.039,123.304,41.133,36.664,0,39.871,39.719,36.664,1.083,10.315,11.734,0.302,1,0.980,0,1.000,0.148,170.095,1.543,0.966
1,889,746.079,1281.717,1360.556,1393.228,128.029,128.868,42.142,39.613,0,41.621,41.557,38.647,1.075,10.627,12.048,0.172,1,0.977,0,1.000,0.121,162.869,1.575,0.966
1,890,834.711,1282.989,1554.255,1579.926,136.719,138.195,44.930,42.774,0,44.485,42.774,42.774,1.000,11.368,12.026,0.051,1,0.984,0,1.000,0.133,101.828,1.622,0.965
1,891,948.766,1281.955,1257.873,1281.210,122.738,124.860,42.473,37.807,0,40.020,38.191,38.191,1.000,10.248,11.976,0.268,1,0.982,0,1.000,0.146,146.695,1.550,0.966
1,892,1086.659,1282.458,1360.556,1388.561,127.681,128.807,42.801,38.191,0,41.621,41.247,38.191,1.080,10.656,11.982,0.257,1,0.980,0,1.000,0.128,159.643,1.577,0.966
1,893,1511.443,1284.073,998.830,1029.169,110.651,111.754,38.191,31.492,0,35.662,36.981,31.493,1.174,9.027,12.258,0.371,1,0.971,0,1.000,0.131,140.532,1.476,0.963
1,894,1380.054,1289.030,1437.569,1477.242,131.775,132.934,44.538,40.745,0,42.783,42.253,41.133,1.027,10.909,12.079,0.223,1,0.973,0,1.000,0.128,113.680,1.590,0.965
1,895,1294.463,1289.004,1344.220,1367.558,126.483,128.829,42.801,36.664,0,41.370,41.247,36.664,1.125,10.628,11.901,0.260,1,0.983,0,1.000,0.148,11.170,1.578,0.966
1,896,81.206,1290.318,1157.523,1190.195,117.794,118.939,39.127,36.664,0,38.390,36.664,36.664,1.000,9.827,11.987,0.213,1,0.973,0,1.000,0.130,152.243,1.522,0.965
1,897,170.646,1293.061,1451.571,1474.908,131.622,133.883,46.058,39.625,0,42.991,41.048,41.048,1.000,11.028,11.935,0.355,1,0.984,0,1.000,0.146,178.271,1.598,0.966
1,898,258.441,1293.815,1255.539,1295.212,123.935,124.141,41.697,38.164,0,39.983,38.191,36.727,1.040,10.131,12.234,0.238,1,0.969,0,1.000,0.098,119.265,1.549,0.966
1,899,342.785,1293.362,1414.232,1442.236,130.577,132.335,45.574,39.613,0,42.434,41.247,39.719,1.038,10.831,12.056,0.322,1,0.981,0,1.000,0.139,140.451,1.590,0.966
1,900,523.543,1294.640,1297.546,1327.884,124.785,126.001,41.697,38.191,0,40.646,39.719,38.191,1.040,10.398,12.000,0.205,1,0.977,0,1.000,0.130,34.975,1.561,0.966
1,901,614.122,1296.111,1397.896,1432.902,130.076,131.472,43.772,39.613,0,42.188,40.763,39.660,1.028,10.747,12.104,0.181,1,0.976,0,1.000,0.133,119.936,1.585,0.966
1,902,1209.424,1298.190,1236.869,1269.541,121.888,122.876,39.982,38.191,0,39.684,38.191,38.191,1.000,10.148,12.012,0.057,1,0.974,0,1.000,0.126,166.977,1.544,0.967
1,903,429.207,1299.031,1260.207,1292.879,122.738,123.955,40.677,36.664,0,40.057,39.719,36.664,1.083,10.267,11.954,0.250,1,0.975,0,1.000,0.131,168.143,1.555,0.966
1,904,1001.048,1299.966,1481.910,1505.247,132.276,135.164,44.617,39.719,0,43.438,41.247,39.719,1.038,11.203,11.807,0.171,1,0.984,0,1.000,0.153,171.895,1.597,0.965
1,905,701.198,1300.316,1194.863,1218.200,118.643,120.685,40.099,36.664,0,39.004,36.664,36.664,1.000,10.071,11.781,0.206,1,0.981,0,1.000,0.146,143.871,1.533,0.966
1,906,1483.333,1303.296,1134.186,1173.859,119.340,120.226,42.610,35.053,0,38.001,37.201,34.330,1.084,9.504,12.557,0.419,1,0.966,0,1.000,0.124,164.101,1.514,0.963
1,907,1128.979,1305.276,1360.556,1386.227,127.333,129.034,42.473,38.191,0,41.621,39.719,38.191,1.040,10.685,11.917,0.101,1,0.981,0,1.000,0.138,26.022,1.576,0.966
1,908,790.414,1310.108,1519.249,1554.255,134.672,136.466,44.930,41.247,0,43.981,42.774,41.247,1.037,11.281,11.938,0.204,1,0.977,0,1.000,0.138,134.993,1.614,0.965
1,909,881.305,1311.802,1540.253,1570.591,135.521,137.395,46.185,41.247,0,44.284,42.774,41.247,1.037,11.365,11.924,0.274,1,0.981,0,1.000,0.139,148.231,1.615,0.965
1,910,1334.696,1310.963,1372.225,1395.562,127.681,129.639,42.555,39.719,0,41.799,39.719,39.719,1.000,10.747,11.880,0.175,1,0.983,0,1.000,0.142,42.539,1.573,0.966
1,911,1539.646,1311.900,1192.529,1234.536,124.632,126.219,48.741,30.246,0,38.966,47.529,30.246,1.571,9.568,13.025,0.595,1,0.966,0,0.965,0.137,51.480,1.537,0.967
1,912,1421.166,1310.760,1178.527,1208.865,118.491,119.949,39.719,35.647,0,38.737,37.823,36.727,1.030,9.946,11.913,0.283,1,0.975,0,1.000,0.136,143.506,1.529,0.966
1,913,1047.271,1315.134,1295.212,1323.217,123.587,125.803,41.557,38.191,0,40.609,38.191,38.191,1.000,10.480,11.792,0.081,1,0.979,0,1.000,0.147,67.148,1.567,0.967
1,914,1253.666,1317.064,1297.546,1325.551,123.935,125.673,40.763,38.191,0,40.646,39.719,38.191,1.040,10.470,11.838,0.167,1,0.979,0,1.000,0.140,92.045,1.557,0.966
1,915,118.235,1318.620,1283.544,1311.548,123.587,125.463,41.948,38.191,0,40.426,38.191,38.191,1.000,10.386,11.900,0.220,1,0.979,0,1.000,0.142,144.130,1.556,0.966
1,916,213.068,1319.003,1372.225,1397.896,127.681,129.396,43.235,38.191,0,41.799,41.247,38.191,1.080,10.747,11.880,0.293,1,0.982,0,1.000,0.139,164.043,1.579,0.966
1,917,566.122,1319.918,1379.226,1416.566,128.530,130.028,43.424,39.719,0,41.906,39.719,39.719,1.000,10.731,11.978,0.196,1,0.974,0,1.000,0.135,135.227,1.579,0.966
1,918,298.112,1320.992,1372.225,1407.231,128.182,129.906,43.424,38.191,0,41.799,39.719,38.191,1.040,10.705,11.974,0.225,1,0.975,0,1.000,0.139,166.231,1.581,0.966
1,919,473.409,1323.426,1509.914,1544.920,135.020,135.966,44.617,42.028,0,43.846,43.478,41.557,1.046,11.183,12.074,0.171,1,0.977,0,1.000,0.123,127.308,1.615,0.965
1,920,37.268,1321.455,1271.875,1304.547,123.587,125.010,41.275,37.792,0,40.242,38.191,38.191,1.000,10.291,12.009,0.161,1,0.975,0,1.000,0.134,8.707,1.554,0.966
1,921,387.332,1322.303,1325.551,1355.889,126.483,127.853,44.064,38.191,0,41.082,39.719,38.191,1.040,10.480,12.069,0.277,1,0.978,0,1.000,0.133,147.285,1.564,0.966
1,922,655.589,1325.258,1374.559,1409.564,129.031,130.259,44.302,38.191,0,41.835,39.719,38.191,1.040,10.653,12.112,0.219,1,0.975,0,1.000,0.130,144.784,1.578,0.966
1,923,1171.817,1326.188,1260.207,1297.546,123.587,124.437,41.133,36.664,0,40.057,39.719,36.664,1.083,10.197,12.120,0.262,1,0.971,0,1.000,0.122,88.066,1.547,0.966
1,924,954.582,1326.958,1467.907,1505.247,136.719,138.160,51.353,36.664,0,43.232,47.750,36.949,1.292,10.737,12.734,0.498,1,0.975,0,0.987,0.132,165.530,1.515,0.985
1,925,744.364,1330.986,1372.225,1390.895,126.483,129.506,43.235,38.191,0,41.799,39.719,38.191,1.040,10.849,11.658,0.219,1,0.987,0,1.000,0.157,158.677,1.578,0.966
1,926,833.508,1334.017,1236.869,1271.875,122.236,122.993,40.447,37.681,0,39.684,38.647,37.201,1.039,10.119,12.080,0.220,1,0.972,0,1.000,0.120,90.558,1.551,0.966
1,927,1088.834,1335.798,1206.531,1229.868,119.493,121.655,40.360,35.136,0,39.194,38.191,35.136,1.087,10.097,11.834,0.264,1,0.981,0,1.000,0.147,75.747,1.529,0.963
1,928,1297.450,1338.996,1481.910,1514.582,133.321,134.794,45.574,40.941,0,43.438,43.208,41.048,1.053,11.115,11.994,0.307,1,0.978,0,1.000,0.133,118.032,1.605,0.965
1,929,1378.737,1335.395,1311.548,1339.553,125.634,127.010,41.557,38.191,0,40.865,39.719,38.191,1.040,10.439,12.035,0.176,1,0.979,0,1.000,0.133,8.624,1.566,0.966
1,930,1504.494,1339.185,1486.577,1530.918,136.218,136.898,45.855,40.096,0,43.506,43.478,40.099,1.084,10.913,12.482,0.277,1,0.971,0,1.000,0.116,148.140,1.613,0.965
1,931,161.604,1341.409,1430.568,1463.240,130.577,132.459,44.538,39.719,0,42.679,41.247,39.719,1.038,10.956,11.919,0.203,1,0.978,0,1.000,0.141,144.718,1.592,0.966
1,932,1456.635,1340.552,1236.869,1271.875,121.888,122.819,41.275,37.421,0,39.684,38.191,38.191,1.000,10.148,12.012,0.298,1,0.972,0,1.000,0.124,130.114,1.549,0.967
1,933,343.534,1344.210,1344.220,1374.559,127.681,129.008,43.478,36.664,0,41.370,42.774,36.664,1.167,10.528,12.128,0.385,1,0.978,0,1.000,0.132,99.947,1.576,0.966
1,934,519.004,1342.970,1381.560,1421.233,128.879,130.012,43.046,39.719,0,41.941,41.247,39.719,1.038,10.720,12.022,0.211,1,0.972,0,1.000,0.128,20.883,1.580,0.966
1,935,252.994,1344.390,1192.529,1227.535,119.841,120.735,39.982,35.136,0,38.966,39.719,35.136,1.130,9.951,12.043,0.308,1,0.971,0,1.000,0.124,93.164,1.533,0.963
1,936,609.591,1346.365,1390.895,1425.900,129.227,130.417,42.253,39.968,0,42.083,40.991,40.991,1.000,10.763,12.006,0.177,1,0.975,0,1.000,0.129,143.072,1.585,0.966
1,937,700.717,1346.704,1395.562,1428.234,131.274,132.574,46.386,39.625,0,42.153,42.363,40.331,1.050,10.631,12.348,0.329,1,0.977,0,1.000,0.131,162.990,1.589,0.966
1,938,1217.372,1344.354,1225.201,1255.539,119.841,122.116,39.719,36.664,0,39.497,38.191,36.664,1.042,10.224,11.722,0.170,1,0.976,0,1.000,0.149,16.838,1.550,0.967
1,939,78.224,1345.613,1113.183,1148.188,115.747,116.718,38.948,35.136,0,37.648,36.664,35.136,1.043,9.617,12.035,0.227,1,0.970,0,1.000,0.127,142.208,1.514,0.962
1,940,428.687,1349.239,1390.895,1423.567,129.227,130.591,42.801,39.613,0,42.083,41.557,38.647,1.075,10.763,12.006,0.259,1,0.977,0,1.000,0.132,148.069,1.587,0.966
1,941,916.432,1349.899,1236.869,1262.540,121.540,123.171,41.275,36.664,0,39.684,38.191,36.664,1.042,10.177,11.943,0.273,1,0.980,0,1.000,0.139,126.972,1.551,0.966
1,942,1004.504,1348.661,1206.531,1241.537,120.690,121.597,40.331,36.664,0,39.194,38.191,36.664,1.042,9.997,12.073,0.177,1,0.972,0,1.000,0.124,139.666,1.541,0.966
1,943,1133.561,1356.044,1521.583,1551.921,135.521,136.709,44.930,41.247,0,44.015,42.774,41.247,1.037,11.228,12.070,0.236,1,0.980,0,1.000,0.128,172.790,1.615,0.965
1,944,1342.902,1356.320,1278.876,1304.547,122.738,124.928,40.677,38.191,0,40.352,38.191,38.191,1.000,10.420,11.779,0.163,1,0.980,0,1.000,0.147,118.822,1.559,0.967
1,945,784.123,1356.844,1075.843,1099.180,112.502,114.458,37.946,33.608,0,37.011,35.136,33.608,1.045,9.563,11.765,0.231,1,0.979,0,1.000,0.146,176.496,1.496,0.946
1,946,1417.499,1363.395,1281.210,1313.882,124.436,125.920,41.557,36.664,0,40.389,39.719,36.664,1.083,10.296,12.086,0.260,1,0.975,0,1.000,0.135,105.627,1.554,0.966
1,947,870.456,1366.390,1444.570,1484.243,132.123,133.115,43.772,40.096,0,42.887,42.031,40.591,1.035,10.933,12.084,0.220,1,0.973,0,1.000,0.124,26.297,1.599,0.965
1,948,1049.667,1364.633,1292.879,1323.217,124.284,126.091,42.610,38.049,0,40.573,38.888,38.888,1.000,10.403,11.947,0.308,1,0.977,0,1.000,0.141,178.358,1.562,0.966
1,949,1258.426,1366.388,1346.554,1379.226,126.832,128.410,42.801,39.613,0,41.406,39.719,39.719,1.000,10.617,11.946,0.241,1,0.976,0,1.000,0.136,148.783,1.571,0.966
1,950,209.972,1368.463,1402.563,1432.902,129.728,131.168,44.064,39.547,0,42.259,41.247,39.719,1.038,10.812,11.999,0.279,1,0.979,0,1.000,0.133,147.456,1.586,0.966
1,951,297.642,1369.387,1577.592,1614.931,143.208,143.410,51.534,40.850,0,44.818,47.382,41.133,1.152,11.016,13.000,0.434,1,0.977,0,0.967,0.095,5.907,1.535,0.987
