X,Y
3.2300E2,2.4520E2
3.2400E2,2.4527E2
3.2500E2,2.4575E2
3.2600E2,2.4582E2
3.2700E2,2.4577E2
3.2800E2,2.4610E2
3.2900E2,2.4616E2
3.3000E2,2.4665E2
3.3100E2,2.4671E2
3.3200E2,2.4683E2
3.3300E2,2.4728E2
3.3400E2,2.4731E2
3.3500E2,2.4716E2
3.3600E2,2.4587E2
3.3700E2,2.4611E2
3.3800E2,2.4659E2
3.3900E2,2.4663E2
3.4000E2,2.4743E2
3.4100E2,2.4760E2
3.4200E2,2.4776E2
3.4300E2,2.4814E2
3.4400E2,2.4842E2
3.4500E2,2.4835E2
3.4600E2,2.4835E2
3.4700E2,2.4870E2
3.4800E2,2.4935E2
3.4900E2,2.4942E2
3.5000E2,2.5027E2
3.5100E2,2.5031E2
3.5200E2,2.4966E2
3.5300E2,2.4953E2
3.5400E2,2.4959E2
3.5500E2,2.5045E2
3.5600E2,2.5053E2
3.5700E2,2.5076E2
3.5800E2,2.5151E2
3.5900E2,2.5152E2
3.6000E2,2.5097E2
3.6100E2,2.5091E2
3.6200E2,2.5125E2
3.6300E2,2.5190E2
3.6400E2,2.5197E2
3.6500E2,2.5283E2
3.6600E2,2.5291E2
3.6700E2,2.5254E2
3.6800E2,2.5059E2
3.6900E2,2.5020E2
3.7000E2,2.5098E2
3.7100E2,2.5103E2
3.7200E2,2.5119E2
3.7300E2,2.5198E2
3.7400E2,2.5207E2
3.7500E2,2.5203E2
3.7600E2,2.5187E2
3.7700E2,2.5214E2
3.7800E2,2.5279E2
3.7900E2,2.5283E2
3.8000E2,2.5371E2
3.8100E2,2.5377E2
3.8200E2,2.5380E2
3.8300E2,2.5341E2
3.8400E2,2.5409E2
3.8500E2,2.5289E2
3.8600E2,2.5286E2
3.8700E2,2.5304E2
3.8800E2,2.5349E2
3.8900E2,2.5356E2
3.9000E2,2.5412E2
3.9100E2,2.5413E2
3.9200E2,2.5418E2
3.9300E2,2.5423E2
