 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1093,1418.808,255,255,255,146.253,44.745,40.372,53.728,0.834,1.108,0.902,0.929
1094,1152.782,255,255,255,131.501,40.838,35.941,143.128,0.838,1.136,0.880,0.909
1095,996.433,255,255,255,120.328,36.901,34.381,113.819,0.865,1.073,0.932,0.943
1096,1173.784,255,255,255,128.446,38.817,38.501,102.036,0.894,1.008,0.992,0.940
1097,1043.104,255,255,255,121.070,37.122,35.777,121.323,0.894,1.038,0.964,0.937
1098,21.002,255,255,255,15.122,5.987,4.467,20.301,1.000,1.340,0.746,0.857
1099,1064.106,255,255,255,120.175,37.102,36.517,59.195,0.926,1.016,0.984,0.951
1100,109.678,255,255,255,39.040,15.583,8.961,154.207,0.904,1.739,0.575,0.895
1101,1127.112,255,255,255,123.754,40.079,35.806,36.494,0.925,1.119,0.893,0.952
1102,1187.785,255,255,255,129.341,39.608,38.183,33.172,0.892,1.037,0.964,0.943
1103,18.669,255,255,255,13.857,5.404,4.399,135.000,1.000,1.229,0.814,0.941
1104,1124.779,255,255,255,125.915,39.709,36.065,0.840,0.892,1.101,0.908,0.938
1105,1047.771,255,255,255,122.335,38.695,34.476,5.414,0.880,1.122,0.891,0.930
1106,1411.808,255,255,255,141.037,43.376,41.442,60.166,0.892,1.047,0.955,0.936
1107,1178.451,255,255,255,133.661,38.890,38.582,100.098,0.829,1.008,0.992,0.917
1108,163.350,255,255,255,47.681,15.205,13.678,144.462,0.903,1.112,0.900,0.881
1109,18.669,255,255,255,14.752,6.895,3.447,0.000,1.000,2.000,0.500,1.000
1110,1365.136,255,255,255,137.241,42.357,41.035,128.566,0.911,1.032,0.969,0.949
1111,1337.133,255,255,255,140.142,44.498,38.260,78.881,0.856,1.163,0.860,0.912
1112,1164.450,255,255,255,127.180,41.195,35.990,12.778,0.905,1.145,0.874,0.941
1113,1229.789,255,255,255,130.235,41.489,37.740,177.063,0.911,1.099,0.910,0.944
1114,84.008,255,255,255,40.305,17.256,6.199,15.734,0.650,2.784,0.359,0.758
1115,695.403,255,255,255,107.366,30.045,29.470,100.364,0.758,1.020,0.981,0.894
1116,119.012,255,255,255,41.200,15.513,9.768,16.992,0.881,1.588,0.630,0.895
1117,49.005,255,255,255,24.288,8.459,7.376,129.608,1.000,1.147,0.872,0.933
1118,49.005,255,255,255,25.554,10.331,6.039,119.620,0.943,1.711,0.585,0.857
1119,415.375,255,255,255,83.666,28.284,18.699,149.859,0.746,1.513,0.661,0.868
1120,56.006,255,255,255,28.609,10.385,6.867,176.551,0.860,1.512,0.661,0.842
1121,280.028,255,255,255,79.499,31.077,11.473,9.079,0.557,2.709,0.369,0.876
